company,state,ticker,exchange,profit,debt,assets,ipo_date,ipo_fees,ipo_price,ipo_amount,industry
Microsoft Corp,Washington,MSFT,Nasdaq,46.3,1.9,65.1,3/02/1986,7.071,21,58.695,IT
Watson Pharmaceuticals Inc,New Jersey,WPI,Nasdaq,8.1,2.1,31.3,6/03/1992,9.25,12,43.2,Chemical
Citrix Systems Inc,Florida,CTXS,Nasdaq,0.3,0.1,3.9,24/10/1995,9.551,15,37.5,IT
Pharmaceutical Product Development Inc,North Carolina,PPDI,Nasdaq,0,1.4,27.5,3/11/1995,9.507,18,36,Agriculture
Conceptus Inc,California,CPTS,Nasdaq,-5.6,0,6.1,30/11/1995,8.656,14,42,Health
FBL Financial Group Inc,Iowa,FFG,New York,0,24.6,3090.9,2/05/1996,7.932,17.5,70,Finance
Kilroy Realty Corp,California,KRC,New York,27.9,270.4,128.3,5/11/1996,7.591,23,287.5,Finance
Golf Trust of America Inc,South Carolina,GTA,American,11.5,4.3,86.7,12/11/1996,11.205,21,71.4,Finance
CIENA Corp,Maryland,CIEN,Nasdaq,18.3,0,67.4,12/12/1996,7.854,23,112.166078,IT
Radiant Systems Inc,Georgia,RADS,Nasdaq,-1.2,4.1,14.6,12/12/1996,8.578,9.5,27.55,IT
Oyo Geospace Corp,Texas,OYOG,Nasdaq,12.7,1,35.1,30/09/1997,8.553,14,28,Machinery
Tier Technologies Inc,Virginia,TIER,Nasdaq,1.7,0.2,13.1,10/10/1997,11.229,8.5,28.9,IT
Tag-It Pacific Inc,California,TAG,American,1.1,0,5.4,21/10/1997,21.688,4,6.72,Machinery
VeriSign Inc,Virginia,VRSN,Nasdaq,-18.1,0,25.1,21/11/1997,9.07,14,42,IT
Midwest Banc Holdings Inc,Illinois,MBHI,Nasdaq,18.4,67.2,906.8,19/12/1997,9.108,15,16.5,Finance
SurModics Inc,Minnesota,SRDX,Nasdaq,0,0,6.5,24/12/1997,9.529,7.5,15,Health
Ladish Co Inc,Wisconsin,LDSH,Nasdaq,33.8,3,165.5,23/12/1997,7.105,13.5,86.2036965,Metal
Columbia Sportswear Co,Oregon,COLM,Nasdaq,51.8,2.8,174.5,24/12/1997,7.509,18,100.8,Clothes
Omega Protein Corp,Texas,OME,New York,0,11.4,136.3,27/01/1998,7.07,16,136,Agriculture
American Dental Partners Inc,Massachusetts,ADPI,Nasdaq,0,8,58.4,12/11/1997,10.919,15,33.21,Health
Broadcom Corp,California,BRCM,Nasdaq,0,0,73.1,5/02/1998,8.369,24,84,Machinery
LaSalle Hotel Properties,Maryland,LHO,New York,17,206.4,217.9,5/02/1998,8.402,18,255.6,Finance
Sauer Inc,Iowa,SHS,New York,0,67.9,412.5,20/03/1998,8.314,18,76.5,Machinery
Hawk Corp,Ohio,HWK,New York,0,100.1,180.8,19/11/1997,8.145,17,87.295,Machinery
Federated Investors Inc,Pennsylvania,FII,New York,0,332.9,388.9,20/03/1998,6.329,19,333.587294,Finance
L-3 Communications Holdings Inc,New York,LLL,New York,90.8,405,679.2,27/02/1998,8.028,22,132,Machinery
MicroStrategy Inc,Virginia,MSTR,Nasdaq,0,0,30.6,10/04/1998,8.63,12,48,IT
Global Imaging Systems Inc,Florida,GISX,Nasdaq,22.3,65.8,164,,9.646,12,72,Furniture
King Pharmaceuticals Inc,Tennessee,KG,Nasdaq,0,177.7,269.4,24/10/1997,9.213,14,87.5,Chemical
Republic Services Inc,Florida,RSG,New York,0,102.2,1582,13/05/1998,5.494,24,1320,Oil
USEC Inc,Maryland,USU,New York,162.4,334.5,2338.2,29/06/1998,3.342,14.25,1425,Chemical
Enterprise Products Partners LP,Texas,EPD,New York,0,75,714.6,13/05/1998,7.197,22,264,Oil
"Prosperity Bancshares Inc, Houston,Texas",Texas,PRSP,Nasdaq,0,0,336.4,11/09/1998,8.477,12,20.601396,Finance
Plains All American Pipeline LP,Texas,PAA,New York,9.1,175,149.6,23/09/1998,7.646,20,261.7,Oil
Internet America Inc,Texas,GEEK,Nasdaq,0,0,3,,8.309,13,29.9,IT
Concur Technologies Inc,Washington,CNQR,Nasdaq,-17,7,25,26/08/1998,9.02,12.5,38.75,IT
MetroCorp Bancshares Inc,Texas,MCBI,Nasdaq,7.7,25,503.4,,9.821,11,14.85,Finance
